Wall time,Step,Value
1718031554.1716063,320,5.998799800872803
1718031555.4565263,640,5.9994001388549805
1718031556.768438,960,5.999300003051758
1718031558.1067615,1280,5.999199867248535
1718031559.3825872,1600,5.9980998039245605
1718031560.672054,1920,5.9994001388549805
1718031562.2014427,2240,-10.002999305725098
1718031563.5173085,2560,-11.003000259399414
1718031564.893628,2880,5.999499797821045
1718031566.2444444,3200,5.999100208282471
1718031567.5413554,3520,5.999199867248535
1718031568.9686773,3840,5.999100208282471
1718031570.3035622,4160,5.998000144958496
1718031571.6808736,4480,5.998799800872803
1718031573.0387154,4800,2.9971017837524414
1718031574.4185503,5120,5.9994001388549805
1718031578.151755,5730,5.996699810028076
1718031579.4399273,6050,5.997600078582764
1718031580.6976783,6370,5.995200157165527
1718031582.028606,6690,5.997399806976318
1718031583.3385,7010,5.998799800872803
1718031586.7257724,7480,-20.003002166748047
1718031588.2781236,7800,-11.003000259399414
1718031589.8417494,8120,-13.503000259399414
1718031593.4267464,8660,5.997200012207031
1718031594.7910712,8980,-1.0030030012130737
1718031596.1813643,9300,-21.505876541137695
1718031597.5715015,9620,5.999899864196777
1718031598.9443192,9940,1.9977017641067505
1718031600.4456592,10260,-2.001800298690796
1718031601.8625457,10580,-79.00994110107422
1718031603.2878826,10900,3.498100996017456
1718031604.7648103,11220,-15.504090309143066
1718031606.1451225,11540,-0.5031026601791382
1718031607.6774697,11860,3.4984002113342285
1718031609.1638052,12180,3.4985010623931885
1718031610.5936327,12500,5.998600006103516
1718031612.030991,12820,-12.504389762878418
1718031613.4746363,13140,-1.0025023221969604
1718031614.8605292,13460,5.998600006103516
1718031616.2477198,13780,-8.0036039352417
1718031617.6307526,14100,-27.00865936279297
1718031619.0465162,14420,5.998600006103516
1718031620.4828503,14740,1.4978986978530884
1718031621.884608,15060,-3.502802610397339
1718031623.3084872,15380,2.9985008239746094
1718031624.7518134,15700,5.498199939727783
1718031626.1506445,16020,4.997999668121338
1718031627.5579636,16340,5.9984002113342285
1718031628.986286,16660,5.997799873352051
1718031630.411618,16980,5.9980998039245605
1718031631.8559458,17300,-0.0032027794513851404
1718031633.2862687,17620,0.9963961839675903
1718031634.7445803,17940,3.9985010623931885
1718031636.1456065,18260,-1.0033034086227417
1718031637.6099377,18580,5.998799800872803
1718031639.0362635,18900,5.9980998039245605
1718031640.4698296,19220,1.4974981546401978
1718031641.8806367,19540,-2.003803014755249
1718031643.31397,19860,0.4977985918521881
1718031644.746799,20180,5.9984002113342285
1718031646.1836398,20500,5.9980998039245605
1718031649.1755867,20860,5.9984002113342285
1718031650.8609674,21180,5.9984002113342285
1718031652.5273724,21500,5.9984002113342285
1718031654.1707447,21820,5.9984002113342285
1718031655.811573,22140,5.9984002113342285
1718031657.4909537,22460,5.9984002113342285
1718031659.1788383,22780,9.47811222076416
1718031660.840718,23100,9.47811222076416
1718031662.4890904,23420,-2.0285279750823975
1718031664.117459,23740,-21.031232833862305
1718031665.746547,24060,-23.034839630126953
1718031667.4214282,24380,-23.034839630126953
1718031669.152832,24700,-23.034839630126953
1718031670.829221,25020,-23.034839630126953
1718031672.502717,25340,-23.034839630126953
1718031674.127719,25660,-23.034839630126953
1718031675.7418408,25980,-23.034839630126953
1718031677.3612072,26300,-19.034976959228516
1718031679.0670965,26620,1.967671513557434
1718031680.7405946,26940,1.967671513557434
1718031682.419974,27260,1.967671513557434
1718031684.0893524,27580,-37.534908294677734
1718031685.734724,27900,-37.534908294677734
1718031687.369094,28220,-37.534908294677734
1718031689.019986,28540,-37.534908294677734
1718031690.7018812,28860,11.97519302368164
1718031692.379325,29180,3.974210739135742
1718031694.0487106,29500,3.469205141067505
1718031695.7106018,29820,10.47040843963623
1718031697.3713362,30140,-32.034934997558594
1718031699.0007045,30460,-32.034934997558594
1718031700.671229,30780,3.466602087020874
1718031702.3221586,31100,3.466602087020874
1718031703.9662383,31420,11.476102828979492
1718031705.6306555,31740,9.971905708312988
1718031707.2912846,32060,10.475104331970215
1718031709.0202076,32380,-44.034912109375
1718031710.6665072,32700,-44.034912109375
1718031712.4319057,33020,8.970110893249512
1718031714.0872808,33340,8.970110893249512
1718031715.8819115,33660,8.478302955627441
1718031717.5643072,33980,9.97491455078125
1718031719.2646925,34300,12.97789478302002
1718031720.898532,34620,9.97420597076416
1718031722.5789118,34940,8.47330093383789
1718031724.2347913,35260,8.47330093383789
1718031725.9046085,35580,13.979790687561035
1718031727.5997264,35900,10.975502967834473
1718031729.274106,36220,12.980193138122559
1718031730.9179611,36540,9.475607872009277
1718031732.576148,36860,12.47799301147461
1718031734.2365394,37180,12.47799301147461
1718031735.901927,37500,13.478289604187012
1718031737.538801,37820,13.982391357421875
1718031739.19782,38140,10.977806091308594
1718031740.8365982,38460,13.982090950012207
1718031742.4823549,38780,11.978498458862305
1718031744.1116254,39100,12.978394508361816
1718031745.901073,39420,11.479194641113281
1718031747.5846834,39740,13.979490280151367
1718031752.0420606,40240,13.979490280151367
1718031754.2895901,40560,13.979490280151367
1718031756.5768058,40880,13.979490280151367
1718031758.8478265,41200,13.979490280151367
1718031761.1133394,41520,13.979490280151367
1718031763.323891,41840,10.980599403381348
1718031765.551394,42160,10.980599403381348
1718031767.8409278,42480,1.4745079278945923
1718031770.164959,42800,-21.02712631225586
1718031772.4340088,43120,-13.529923439025879
1718031774.6506033,43440,-35.03386306762695
1718031776.8998578,43760,12.982394218444824
1718031779.172837,44080,11.4819974899292
1718031781.3716276,44400,11.4819974899292
1718031783.5786724,44720,5.479098796844482
1718031785.7371755,45040,-8.52479076385498
